,ResponseId,human1,human2,human3,human4,human5,human6,human7,human8,phuman1,phuman2,phuman3,phuman4,phuman5,phuman6,phuman7,phuman8,relneg1,relneg2,relneg3,relneg4,rsrm1,rsrm2,rsrm3,rsrm4,aut1,aut2,aut3,rel1,rel2,rel3,rel4,prel1,prel2,prel3,prel4,evound1,evound2,evound3,evound4,evound5,evound6,evound7,evound8,evound9,evound10,evound11,evound12,evound13,evound14,race,course,semester,gender,biomajor,religion
21,R_1IW9wYLfkfh2otV,5,2,4,4,3,3,4,4,5,4,4,5,3,3,4,4,2,2,2,2,4,4,4,4,4,4,4,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,4,1,5,2,1,6
22,R_1IxYNkkTNLmxIbg,2,2,1,2,2,2,2,4,1,3,1,1,4,3,2,4,1,1,1,1,6,6,5,6,6,6,6,3,4,2,4,2,4,2,5,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,5,1,1,2
23,R_1IZvXfdgKSGUziy,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,1,5,1,0,2
24,R_1JLb6Q7Qvb8N5Oi,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,4,1,1,1,1,3,4,4,3,6,6,6,3,5,5,3,2,5,5,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4,1,5,1,1,2
25,R_1kTv4G301WIiGDe,4,4,4,4,4,4,4,4,3,4,4,3,4,5,4,4,2,2,2,2,2,2,2,2,3,5,5,2,3,2,4,4,4,4,5,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,5,1,1,2
26,R_1l4fgswIC5Q8i66,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,4,3,4,3,4,3,4,4,4,1,2,2,3,1,1,1,4,1,0,1,1,1,1,1,0,1,1,1,1,1,0,4,1,5,2,1,6
27,R_1LdItMj3TUKkk6k,4,4,4,4,4,4,4,4,4,5,5,4,4,5,4,4,2,2,2,2,5,5,5,5,5,5,5,2,4,3,3,2,4,4,3,1,0,1,1,1,1,1,1,1,1,1,1,0,1,4,1,5,2,1,2
28,R_1LhujnNHYEYsG5G,4,4,4,4,4,4,4,4,3,3,3,3,3,2,3,4,3,3,3,3,3,4,3,4,3,3,3,2,3,3,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,4,1,5,2,1,6
29,R_1LNVznJLcWJGecl,4,4,5,4,4,5,4,4,5,5,5,5,5,5,5,5,1,1,1,1,4,4,3,5,5,5,5,1,2,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,5,1,1,6
30,R_1lxZrQI9w0NjX0p,4,4,4,4,4,5,4,4,3,3,3,3,3,3,4,4,2,2,2,2,5,5,5,5,5,5,5,3,4,3,4,3,5,3,3,1,0,1,0,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,2
31,R_1LznKI59lVl1tnE,5,4,5,5,5,5,5,3,5,4,5,5,5,5,4,4,1,1,1,1,5,5,5,5,5,5,5,4,3,2,4,4,4,1,4,0,0,1,1,1,1,0,1,1,1,1,1,1,0,3,1,5,1,1,3
32,R_1MLJLGIyDaHv2b2,3,4,2,5,3,3,2,4,3,2,3,3,4,2,2,1,4,5,4,3,3,1,4,4,6,5,4,2,4,3,4,1,5,4,4,1,0,1,1,1,1,1,1,1,1,1,1,0,1,4,1,5,2,1,5
33,R_1MQl5bnC3B3Mtar,2,2,4,3,3,4,3,2,2,2,4,2,4,4,2,3,2,2,2,2,5,5,5,5,5,5,5,4,4,4,4,3,4,4,4,1,1,1,0,0,1,1,1,0,0,1,0,0,0,4,1,5,2,0,2
34,R_1mxFBKgSlUb4NbG,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,6,4,5,1,1,1,4,2,3,2,5,1,0,0,1,1,1,1,1,1,1,1,0,1,0,4,1,5,1,1,7
35,R_1N4i3TjK7q47Ouv,2,4,4,3,4,4,3,3,4,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,5,5,5,0,0,1,0,1,0,1,1,1,1,0,0,1,0,3,1,5,1,1,2
36,R_1oGxyEkOt11tL5m,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,2,1,2,2,3,3,4,4,5,5,5,2,3,2,4,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,1,1,6
37,R_1PTLFICsdU1V9Zw,3,2,3,4,3,2,4,3,4,3,4,4,3,4,4,4,2,2,2,2,5,5,5,5,5,5,5,1,4,2,3,1,4,2,3,1,0,0,1,1,1,1,1,1,1,1,0,1,0,4,1,5,1,1,8
38,R_1Q6oZmumgU9Me9Z,4,3,5,5,3,4,4,4,4,5,5,4,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,4,1,5,1,1,6
39,R_1rlFuFk6I747zdi,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,5,5,5,5,5,5,5,3,5,4,4,3,5,4,3,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,5,1,1,2
40,R_1rOILBg8iFAho5C,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,3,4,4,5,5,4,5,1,3,2,2,1,3,2,2,0,0,1,1,1,1,1,1,0,1,1,1,0,0,3,1,5,1,1,6
41,R_22D3a5MTw5T2huZ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,5,5,5,5,5,5,5,4,5,4,4,4,5,4,4,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,5,1,1,2
42,R_237XtTH2GCpBFtz,2,2,4,4,3,2,4,3,4,4,3,4,2,2,4,4,2,2,2,2,5,5,5,5,5,5,5,1,5,3,4,1,5,2,5,1,1,1,1,1,1,1,0,1,1,1,1,0,1,4,1,5,1,1,6
43,R_24derz709VhaGr4,3,4,4,4,4,4,4,5,3,4,4,4,4,5,4,5,1,1,1,1,6,6,6,6,5,5,5,1,3,3,3,1,3,2,2,1,1,1,1,1,1,1,1,1,0,1,1,0,0,4,1,5,2,1,6
44,R_24eYLCCtPwZ5Ztz,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,6,6,6,6,6,6,6,1,2,1,3,1,1,1,2,0,0,1,1,0,1,1,1,1,1,1,1,0,0,4,1,5,1,1,6
45,R_24w0hjFr1S320fX,5,4,5,5,4,4,4,5,5,3,5,5,3,3,5,5,2,2,2,2,5,5,5,5,5,5,5,2,4,3,2,2,3,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,6
46,R_25LUo5jnKP3hEkb,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,6,6,6,6,6,6,6,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4,1,5,1,1,6
47,R_26mNc9HyOdEKLBp,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,6,6,6,6,6,6,6,1,5,1,5,1,4,1,4,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,5,1,1,6
48,R_28HtYGZeCTbavdh,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,4,4,4,4,4,4,4,1,2,2,5,3,3,2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,4,1,5,1,1,6
49,R_28UGsdP4pSK9gjI,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,4,4,4,4,4,4,4,1,3,1,4,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,1,1,1
50,R_2a8BNMmNGfKTsyG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,1,5,1,1,6
51,R_2aKU3S7UdGjCJKc,2,3,3,2,2,2,2,2,4,4,4,4,4,4,4,4,1,1,1,1,6,6,6,6,6,6,6,2,5,4,4,2,4,3,4,1,0,1,0,1,1,1,1,0,1,1,0,1,0,4,1,5,2,1,2
52,R_2cCbvohVOXpyP7S,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,6,4,6,6,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,5,1,1,6
53,R_2Cj1tPYKHJdppGA,3,3,2,2,4,4,3,3,4,4,3,4,4,4,3,5,1,1,1,1,5,4,5,5,4,5,5,3,5,4,4,2,5,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2
54,R_2dPVdUB3gHHAT5G,5,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,2,2,2,2,5,5,5,5,5,5,5,1,1,1,1,2,2,2,2,1,0,1,1,1,1,1,1,1,1,0,1,1,0,4,1,5,1,1,6
55,R_2DZkfiXWObhwfxv,2,4,3,1,4,5,1,4,2,4,5,3,4,4,4,4,2,2,2,2,3,4,4,4,4,4,4,2,5,3,4,3,4,3,4,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,5,2,1,5
56,R_2EyH5ufQ3zwR40k,5,4,5,5,5,5,4,4,4,5,4,5,5,4,4,4,1,1,1,1,2,4,3,4,5,5,4,4,5,4,5,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,1,5,1,1,2
57,R_2flg0dKBDuPNRs7,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,2,2,2,2,6,6,6,6,3,3,3,1,2,2,3,1,2,1,2,1,0,1,1,1,1,1,1,1,1,1,0,1,0,4,1,5,1,1,6
58,R_2PiGmUphTt9yXQD,3,2,3,3,3,2,3,4,4,2,3,4,3,3,4,3,2,2,2,2,3,3,3,3,4,5,5,1,3,2,4,1,3,3,3,1,0,1,1,1,1,1,1,0,1,1,1,1,0,4,1,5,1,1,6
59,R_2q1KpTPpGaiCyBy,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,5,4,4,1,1,1,1,1,1,1,1,0,1,0,1,0,1,2,1,5,2,1,5
60,R_2qlzbGEeCzM4YmJ,4,4,4,4,5,5,4,4,2,2,4,2,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,4,3,4,2,4,3,3,0,1,1,1,1,1,1,1,0,1,1,1,0,0,4,1,5,1,1,6
61,R_2riGlXvQJwOygY6,4,4,4,5,5,5,4,4,3,3,4,4,4,4,2,3,2,2,2,2,4,4,4,4,4,3,4,1,3,2,2,2,3,3,3,1,1,1,1,1,0,0,0,1,0,1,1,0,0,4,1,5,1,1,2
62,R_2rkCDnXeunyK2go,3,4,3,3,3,3,3,2,5,5,5,5,5,5,5,5,1,1,1,1,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,5,2,1,2
63,R_2rkZ4cophsdnC19,5,5,1,5,5,5,5,5,4,5,5,5,5,5,5,5,2,2,2,2,4,6,5,5,5,5,5,3,2,3,5,2,2,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,7
64,R_2rPjZlIhTmIgwiY,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,6,6,6,6,6,6,6,2,3,1,2,1,3,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,2,1,5,1,1,6
65,R_2rTkkPbNvg2Rtje,5,5,4,5,5,5,5,4,4,5,5,5,5,4,5,5,2,2,2,2,5,5,5,5,5,5,5,1,3,2,3,1,3,2,3,1,0,1,1,1,1,1,1,1,1,1,1,0,1,4,1,5,1,1,6
66,R_2s4I2qssAzhEdlO,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,2,2,2,2,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,1,1,0,1,1,0,1,1,0,1,1,1,0,0,2,1,5,1,1,2
67,R_2sajWpBUY2epb15,3,4,4,3,4,4,3,4,4,3,3,4,4,4,4,3,2,2,1,1,4,4,5,5,5,6,6,2,3,3,3,3,3,3,3,1,0,1,1,1,1,1,1,1,1,1,1,1,0,4,1,5,1,1,8
68,R_2SIgFilb6CpofMW,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4,1,5,2,1,6
69,R_2tgkc3Z8lyRh07V,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,2,2,2,2,3,3,3,3,2,5,5,1,3,1,1,1,3,2,2,0,1,1,1,0,1,0,1,0,1,1,1,1,1,4,1,5,1,1,6
70,R_2txO4LCBBIsmfA3,5,2,5,5,3,4,5,5,5,2,5,5,3,1,5,4,1,1,1,1,5,4,5,5,4,5,5,1,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,2,1,5,2,1,6
71,R_2TXX22Rc1zZ6tGD,4,4,4,4,4,4,4,5,3,4,4,4,4,5,3,4,4,3,4,4,2,4,4,3,4,4,2,5,5,5,3,5,5,5,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,2,1,2
72,R_2ux29ted6Rb2etq,3,4,4,4,4,4,4,5,5,2,4,4,4,4,5,5,2,2,2,2,3,3,5,3,5,6,6,2,3,2,3,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,4,1,5,2,1,6
73,R_2v0SeFw1YV9EY0z,4,4,4,4,4,4,4,4,4,2,2,4,4,2,4,4,2,2,2,2,5,5,5,5,5,5,5,1,1,1,4,1,3,2,3,1,0,1,1,1,1,1,0,1,1,1,1,1,1,2,1,5,2,1,6
74,R_2xFA73qfQTCFfZh,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,1,1,1,1,6,5,5,5,5,5,5,4,5,5,4,4,5,4,4,1,0,1,1,1,0,1,1,1,1,1,1,0,1,3,1,5,1,1,2
75,R_2xJLSryUZii41nR,4,4,4,4,4,5,4,3,5,4,4,5,4,5,5,4,1,1,1,1,4,6,5,6,6,6,6,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,4,1,5,1,1,6
76,R_2xKJfPUmKLfxYvZ,2,5,4,2,4,4,2,5,2,3,4,3,4,4,2,4,1,1,1,1,5,6,5,5,5,5,5,3,5,4,5,3,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,1,0,6
77,R_2z76DP9NFG4WOK8,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,1,2,1,6,6,4,6,5,6,6,1,1,1,4,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,2,1,6
78,R_31clOf2IIQl0wfA,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,2,2,2,2,4,4,4,4,5,5,5,1,2,1,3,2,3,2,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,6
79,R_33fq3LiNI9I9gvg,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,2,2,2,2,3,4,3,4,4,4,4,1,3,2,4,1,3,1,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,1,1,6
80,R_3CHsiewAZKRanwD,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,2,2,2,2,5,5,5,5,5,5,5,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4,1,5,2,1,6
81,R_3CWyZbAWdKuWQp3,5,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,6,6,6,1,3,1,3,2,2,2,4,1,0,1,1,1,1,1,1,1,1,1,1,0,0,2,1,5,1,1,6
82,R_3e3a5hRlxWhyELg,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,1,1,1,3,4,3,4,5,6,6,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,2,1,6
83,R_3e4cjtiFDSBGwvw,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,5,5,5,3,4,3,3,2,4,3,3,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,5,1,1,2
84,R_3eb0k6iWwziE5Ms,4,4,5,4,4,4,4,2,4,5,5,5,5,4,4,4,1,1,1,1,5,5,5,5,5,5,5,2,3,1,1,2,3,2,2,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,5,2,1,6
85,R_3EQfRKS7O4sd9jk,4,5,4,4,5,5,4,3,4,3,4,4,5,5,4,5,1,1,1,1,6,6,6,6,6,6,6,2,3,3,3,2,3,3,3,1,0,1,1,1,1,1,1,1,1,1,0,1,1,4,1,5,1,1,6
86,R_3FPbgcNqZwjFWmB,4,4,4,5,4,5,5,5,3,3,4,3,2,3,3,4,1,2,1,1,5,4,4,5,5,4,5,3,5,4,4,3,5,4,4,1,0,1,1,1,1,1,1,0,1,1,1,1,0,4,1,5,1,0,2
87,R_3FWLjzqe73BHZAX,4,5,5,4,4,5,4,4,5,5,5,5,5,5,5,5,1,1,1,1,2,5,2,5,4,5,5,2,5,5,5,1,5,5,5,1,1,1,1,0,1,1,0,1,1,1,1,0,1,4,1,5,1,1,2
88,R_3G32Rj378KWqNmI,5,3,1,4,4,2,4,4,5,3,4,5,5,4,4,3,2,2,2,2,5,6,4,5,4,5,4,2,4,2,2,2,4,3,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,5,2,1,2
89,R_3G6V4trOH0DRzGE,4,4,4,4,4,4,4,4,4,2,2,4,4,2,4,4,2,2,5,2,5,2,5,2,2,5,2,2,5,4,4,2,5,3,4,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,5,1,1,2
90,R_3G8HKLdk0XAXkvP,4,3,4,4,3,3,4,4,4,3,4,4,3,3,4,4,1,1,1,1,6,6,6,6,6,6,6,2,4,3,3,1,3,3,3,1,0,1,1,1,1,1,1,0,1,1,1,1,1,4,1,5,1,1,6
91,R_3I9MEaGDFt6B2Tp,4,4,4,4,5,5,4,4,5,5,5,5,5,5,5,5,1,1,1,1,4,5,5,5,5,5,6,2,5,5,5,3,5,4,5,0,0,1,1,1,1,1,1,1,0,1,0,1,0,4,1,5,2,1,2
92,R_3iI0tdhaBtK0ErW,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,5,5,5,5,5,5,5,2,4,3,3,2,4,2,3,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,5,1,1,2
93,R_3j0SlSsTa4s3WF7,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,1,1,1,6,6,6,6,6,6,6,1,3,2,4,1,3,2,4,1,0,1,0,1,1,1,1,1,1,1,1,0,1,4,1,5,1,0,6
94,R_3JeLwjFGz545osW,4,4,4,4,4,4,4,4,5,5,5,4,4,5,5,3,1,1,1,1,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,5,1,1,6
95,R_3KBiEsjcyhJ5lQG,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,6,6,6,6,6,6,1,4,2,4,1,3,1,3,1,0,1,1,1,1,1,1,1,1,1,1,0,1,4,1,5,1,1,6
96,R_3MbySD2cRnBc200,4,2,3,4,4,4,4,4,3,5,5,1,4,3,4,3,1,1,1,1,6,6,6,6,4,6,6,3,5,5,5,2,4,4,3,1,1,0,1,0,1,1,1,1,1,1,1,1,1,4,1,5,2,1,2
97,R_3mesM1OWYGHRVu5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,4,1,1,1,1,3,3,3,3,4,3,3,1,3,3,5,1,3,2,5,1,1,1,1,1,1,0,1,1,1,1,1,0,1,3,1,5,2,1,5
98,R_3n190CYqFRV1f18,4,4,2,5,4,5,4,4,4,3,4,5,4,4,3,4,2,2,2,2,4,4,5,5,5,5,5,1,4,3,4,1,4,3,4,1,0,1,1,1,1,1,1,0,1,1,0,1,0,4,1,5,1,1,2
99,R_3nMp0Qn3kahcCQv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,4,6,4,4,6,6,6,3,3,2,4,2,4,3,5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,5,2,1,6
100,R_3nMX6lemrcno2N6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,4,1,5,1,1,6
101,R_3NO10esuzMLJIad,4,3,4,4,4,4,4,4,4,2,2,4,4,2,4,3,1,1,1,1,4,4,4,4,4,4,4,2,3,2,2,5,3,3,3,1,0,1,1,1,1,1,1,1,1,1,1,1,0,4,1,5,1,1,6
102,R_3Ny8eroUgfEnJYr,4,4,5,4,5,4,2,5,3,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,1,1,1,2,2,2,2,3,0,0,1,1,1,1,1,1,0,1,1,1,0,1,2,1,5,1,1,6
103,R_3oXTWY8rzvkc92S,4,5,3,4,3,4,3,4,4,5,4,4,5,4,4,4,3,4,4,3,3,3,4,4,3,3,3,4,5,3,5,5,5,3,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5,1,1,2
104,R_3p525Xhg0aTK804,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,1,1,1,1,6,6,6,6,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,2,1,6
